group,category,code,name_df,name,source,frequency,original,order,transf,tcode,transf_code,days_lag,where
7,Financeiras,3547,inter_reserv_liq,Reservas internacionais - Reservas em divisas conversíveis - Total	,BCB-DSTAT,M,US$,,diff_diff_12,2,3,31,BCB
7,Financeiras,27788,mi_wkdavg,Meios de pagamento - M1 (média dos dias úteis do mês) - Novo	,BCB-DSTAT,M,R$,,diff_12,2,3,31,BCB
7,Financeiras,27810,mii_balance_endp,Meios de pagamento amplos - M2 (saldo em final de período) - Novo	,BCB-DSTAT,M,R$ mil,,diff_diff_12,2,3,31,BCB
7,Financeiras,4390,selic_mon,Taxa de juros - Selic acumulada no mês	,BCB-Demab,M,Percentage,,diff_diff_12,2,2,0,BCB
7,Financeiras,256,interest_longterm,Taxa de juros de longo prazo - TJLP	,BCB-Demab,M,% a.a,,diff_diff_12,2,5,0,BCB
7,Financeiras,4391,cdi_mon,CDI acumulada no mês	,BCB-Demab,M,% a.m,,diff_diff_12,2,2,0,BCB
7,Financeiras,20631,credit_tot,Concessões de crédito - Total	,BCB-DSTAT,M,R$,,diff_diff_12,,4,28,BCB
7,Financeiras,20632,credit_enter,Concessões de crédito - Pessoas jurídicas - Total	,BCB-DSTAT,M,R$,,diff_diff_12,,4,28,BCB
7,Financeiras,7415,bndes_desem_total,Desembolsos do sistema BNDES - Total,BNDES,M,R$ (milhões),,diff_12,2,4,15,BCB
7,Financeiras,7416,bndes_desem_ind_transf,Desembolsos do sistema BNDES - Indústria de transformação        ,BNDES,M,R$ (milhões),,diff_12,2,4,15,BCB
7,Financeiras,7417,bndes_desem_comserv,Desembolsos do sistema BNDES - Comércio e serviços,BNDES,M,R$ (milhões),,diff_12,2,4,15,BCB
7,Financeiras,7419,bndes_desem_ind_ext,Desembolsos do sistema BNDES - Indústria extrativa,BNDES,M,R$ (milhões),,diff_12,2,4,15,BCB
7,Financeiras,3698,exr_usd_mon_mean,Taxa de câmbio - Livre - Dólar americano (venda) - Média de período - mensal	,BCB-DSTAT,M,US$,,diff_12,2,1,1,BCB
7,Financeiras,29038,household_debt,Endividamento das famílias exceto crédito habitacional (RNDBF)	,BCB-DSTAT,M,Percent,,diff_diff_12,2,3,56,BCB
7,Financeiras,^BVSP,ibov,Ibovespa - Variação mensal,B3,M,Points,,pctchg,2,1,1,Yahoo! Finance
7,Financeiras,^IXIC,nasdaq,Nasdaq - Variação mensal ,Nasdaq,M,Points,,pctchg,2,1,1,Yahoo! Finance
7,Financeiras,^GSPC,snp_500,S&P 500 - Variação mensal,S&P 500,M,Points,,pctchg,2,1,1,Yahoo! Finance
7,Financeiras,^DJI,dji,Dow Jones Industry Composite Index - Variação mensal,DJ,M,Points,,pctchg,2,1,1,Yahoo! Finance
8,Expectativas,17660,serv_conf_index_fgv,Índice de Confiança Serviços,FGV/BCB,M,Index,,diff_diff_12,2,1,-1,BCB
8,Expectativas,17661,serv_curr_situ_index_fgv,Índice de Situação Atual - Serviços,FGV/BCB,M,Index,,diff_diff_12,2,3,-1,BCB
8,Expectativas,17662,serv_expec_index_fgv,Índice de Expectativas - Serviços,FGV/BCB,M,Index,,diff_12,2,1,-1,BCB
8,Expectativas,4393,ind_conf_cons_feco,Índice de Confiança do Consumidor,Fecomercio,M,Index,,diff_diff_12,2,1,15,BCB
8,Expectativas,4394,ind_eco_cond_feco,Índice de Condições Econômicas Atuais,Fecomercio,M,Index,,diff_diff_12,2,1,15,BCB
8,Expectativas,4395,ind_fut_expec_feco,Índice de Expectativas Futuras,Fecomercio,M,Index,,diff_diff_12,2,1,15,BCB
8,Expectativas,None,ind_conf_index_fgv,Índice de Confiança - Índustria ,FGV,M,Index,,diff_12,0,1,-1,FGVDados
8,Expectativas,None,ind_curr_situ_index_fgv,Índice de Situação Atual - Índustria,FGV,M,Index,,diff_12,0,1,-1,FGVDados
8,Expectativas,None,ind_expec_index_fgv,Índice de Expectativas - Índustria,FGV,M,Index,,diff_12,0,1,-1,FGVDados
8,Expectativas,None,cons_conf_index_fgv,Índice de Confiança do Consumidor,FGV,M,Index,,diff_diff_12,2,1,-5,FGVDados
8,Expectativas,None,cons_curr_situ_index_fgv,Índice de Confiança do Consumidor - Situação Presente,FGV,M,Index,,diff_diff_12,2,3,-5,FGVDados
8,Expectativas,None,cons_expec_index_fgv,Índice de Confiança do Consumidor - Expectativas,FGV,M,Index,,diff_diff_12,0,1,-5,FGVDados
8,Expectativas,None,emp_conf_index_fgv,Índice de Confiança Empresarial ,FGV,M,Index,,diff_12,0,1,2,FGVDados
8,Expectativas,None,emp_curr_situ_index_fgv,Índice de Confiança Empresarial - Situação Atual ,FGV,M,Index,,diff_12,0,1,2,FGVDados
8,Expectativas,None,emp_expec_index_fgv,Índice de Confiança Empresarial - Expectativas,FGV,M,Index,,diff_12,0,1,2,FGVDados
8,Expectativas,PIB Total,expec_gdp,Expectativas de Mercado - Boletim Focus - PIB - Mediana - ano corrente - mês a mês fechamento,BCB,M,Anual var %,,diff_diff_12,2,2,0,Focus
8,Expectativas,IPCA,expec_ipca,Expectativas de Mercado - Boletim Focus - IPCA - Mediana - ano corrente - mês a mês fechamento,BCB,M,Anual var %,,diff_12,2,2,0,Focus
8,Expectativas,Selic,expec_selic,Expectativas de Mercado - Boletim Focus - Taxa de Juros Selic - Mediana - ano corrente - mês a mês,BCB,M,% a.a ,,diff_12,2,2,0,Focus
8,Expectativas,Câmbio,expec_exr_usd,Expectativas de Mercado - Boletim Focus - Taxa de Câmbio (Dólar) - Mediana - ano corrente - mês a mês,BCB,M,R$/USD Year,,diff_12,2,2,0,Focus
9,Google Trends,Artes e entretenimento,gt_arts,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,1,0,gtrendsR
9,Google Trends,Livros e literatura,gt_books,Google Trends ,Google,M,Trend Index,,diff_diff_12,0,1,0,gtrendsR
9,Google Trends,Finanças ,gt_finance,Google Trends ,Google,M,Trend Index,,diff_12,0,3,0,gtrendsR
9,Google Trends,Saúde ,gt_health,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,1,0,gtrendsR
9,Google Trends,Internet e Telecom,gt_internet,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,3,0,gtrendsR
9,Google Trends,Notícias ,gt_news,Google Trends ,Google,M,Trend Index,,diff_12,0,1,0,gtrendsR
9,Google Trends,Pets e Animais,gt_pets,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,1,0,gtrendsR
9,Google Trends,Ciência,gt_science,Google Trends ,Google,M,Trend Index,,diff_12,2,1,0,gtrendsR
9,Google Trends,Viagens,gt_travel,Google Trends ,Google,M,Trend Index,,diff_12,2,1,0,gtrendsR
9,Google Trends,Automóveis e Veículos,gt_auto,Google Trends ,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,Negócios e Indústrias ,gt_business,Google Trends ,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,Comida e Bebida,gt_foods,Google Trends ,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,Hobbies e Lazer ,gt_lazer,Google Trends ,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,Trabalhos e Educação,gt_jobs,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,Comunidades online,gt_oncomm,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,Mercado Imobiliário,gt_realestate,Google Trends ,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,Shopping,gt_shopping,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,Beleza e Fitness ,gt_bfit,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,Computador e Eletrônicos,gt_pceletro,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,Jogos,gt_games,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,Casa e Jardim,gt_home,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,Leis e Governo,gt_law,Google Trends ,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,Povo e Sociedade,gt_povo,Google Trends ,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,Referências,gt_ref,Google Trends ,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,Sports ,gt_sports,Google Trends ,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,crise,gt_crise,Google Trends - crise,Google,M,Trend Index,,diff_12,2,1,0,gtrendsR
9,Google Trends,desemprego,gt_desemprego,Google Trends - desemprego,Google,M,Trend Index,,diff_12,0,1,0,gtrendsR
9,Google Trends,seguro desemprego,gt_segdesemp,Google Trends - seguro desemprego,Google,M,Trend Index,,diff_12,0,3,0,gtrendsR
9,Google Trends,empregos,gt_empregos,Google Trends - empregos,Google,M,Trend Index,,diff_12,2,1,0,gtrendsR
9,Google Trends,trabalho,gt_trabalho,Google Trends - Trabalho,Google,M,Trend Index,,diff_diff_12,2,3,0,gtrendsR
9,Google Trends,fgts,gt_fgts,Google Trends - FGTS,Google,M,Trend Index,,diff_12,0,1,0,gtrendsR
9,Google Trends,renda,gt_renda,Google Trends - Renda,Google,M,Trend Index,,diff_12,2,1,0,gtrendsR
9,Google Trends,salario,gt_salario,Google Trends - Salário,Google,M,Trend Index,,diff_12,2,1,0,gtrendsR
9,Google Trends,economia,gt_economia,Google Trends - Economia,Google,M,Trend Index,,diff_12,2,1,0,gtrendsR
9,Google Trends,crescimento pib,gt_cresc_pib,Google Trends - Crescimento PIB,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,inflação,gt_inflacao,Google Trends - Inflação,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,juros,gt_juros,Google Trends - Juros,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,divida,gt_divida,Google Trends - Dívida,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,falência,gt_falencia,Google Trends - Falência,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,empréstimo,gt_emprestimo,Google Trends - Empréstimo,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,política,gt_politica,Google Trends - Política,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,aluguel,gt_aluguel,Google Trends - Aluguel,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,ganhar dinheiro,gt_seguro,Google Trends - Seguro,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,governo,gt_governo,Google Trends - Governo,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,viagem,gt_viagem,Google Trends - Viagem,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,empreendedor,gt_empreendedor,Google Trends - Empreendedor,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,abrir empresa,gt_empresa,Google Trends - Abrir empresa,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,credito,gt_credito,Google Trends - Crédito,Google,M,Trend Index,,diff_diff_12,2,,,gtrendsR
9,Google Trends,dolar,gt_dolar,Google Trends - Dólar,Google,M,Trend Index,,diff_12,2,,,gtrendsR
9,Google Trends,financiamento,gt_financiamento,Google Trends - Financiamento,Google,M,Trend Index,,diff_12,2,,,gtrendsR
